onet_name,onetsoccode,occ1990dd,occ1990dd_title,occ,acs,acs_title,_merge_acs,_merge_occdd
Gem and Diamond Workers,51-9071.06,647.0,647=Jewelers and precious stone and metal workers,8750,519071,Jewelers and Precious Stone and Metal Workers,3,3
Precious Metal Workers,51-9071.07,647.0,647=Jewelers and precious stone and metal workers,8750,519071,Jewelers and Precious Stone and Metal Workers,3,3
Jewelers,51-9071.01,647.0,647=Jewelers and precious stone and metal workers,8750,519071,Jewelers and Precious Stone and Metal Workers,3,3
Medical Appliance Technicians,51-9082.00,678.0,Dental laboratory and medical applicance technicians,8760,519080,"Medical, Dental, and Ophthalmic Laboratory Technicians",3,3
Ophthalmic Laboratory Technicians,51-9083.00,678.0,Dental laboratory and medical applicance technicians,8760,519080,"Medical, Dental, and Ophthalmic Laboratory Technicians",3,3
Dental Laboratory Technicians,51-9081.00,678.0,Dental laboratory and medical applicance technicians,8760,519080,"Medical, Dental, and Ophthalmic Laboratory Technicians",3,3
Packaging and Filling Machine Operators and Tenders,51-9111.00,754.0,"Packers, fillers, and wrappers",8800,519111,Packaging and Filling Machine Operators and Tenders,3,3
"Painters, Transportation Equipment",51-9122.00,789.0,Painting and decoration occupations,8810,519120,Painting Workers,3,3
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",51-9121.00,789.0,Painting and decoration occupations,8810,519120,Painting Workers,3,3
"Painting, Coating, and Decorating Workers",51-9123.00,789.0,Painting and decoration occupations,8810,519120,Painting Workers,3,3
Photographic Process Workers and Processing Machine Operators,51-9151.00,774.0,Photographic process machine operators,8830,519151,Photographic Process Workers and Processing Machine Operators,3,3
Adhesive Bonding Machine Operators and Tenders,51-9191.00,753.0,Cementing and gluing machne operators,8850,519191,Adhesive Bonding Machine Operators and Tenders,3,3
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-9192.00,764.0,"Washing, cleaning, and pickling machine operators",8860,519192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",3,3
Etchers and Engravers,51-9194.00,649.0,Engravers,8910,519194,Etchers and Engravers,3,3
Molding and Casting Workers,51-9195.07,675.0,"Hand molders, shapers, and casters, except jewelers",8920,519195,"Molders, Shapers, and Casters, Except Metal and Plastic",3,3
"Potters, Manufacturing",51-9195.05,675.0,"Hand molders, shapers, and casters, except jewelers",8920,519195,"Molders, Shapers, and Casters, Except Metal and Plastic",3,3
"Stone Cutters and Carvers, Manufacturing",51-9195.03,675.0,"Hand molders, shapers, and casters, except jewelers",8920,519195,"Molders, Shapers, and Casters, Except Metal and Plastic",3,3
"Glass Blowers, Molders, Benders, and Finishers",51-9195.04,675.0,"Hand molders, shapers, and casters, except jewelers",8920,519195,"Molders, Shapers, and Casters, Except Metal and Plastic",3,3
"Paper Goods Machine Setters, Operators, and Tenders",51-9196.00,765.0,Paper folding machine operators,8930,519196,"Paper Goods Machine Setters, Operators, and Tenders",3,3
Tire Builders,51-9197.00,779.0,"Machine operators, n.e.c.",8940,519197,Tire Builders,3,3
Helpers--Production Workers,51-9198.00,873.0,Production helpers,8950,519198,Helpers--Production Workers,3,3
Cooling and Freezing Equipment Operators and Tenders,51-9193.00,779.0,"Machine operators, n.e.c.",8965,5191XX,Other production workers including semiconductor processors and cooling and freezing equipment operators,3,3
Semiconductor Processors,51-9141.00,779.0,"Machine operators, n.e.c.",8965,5191XX,Other production workers including semiconductor processors and cooling and freezing equipment operators,3,3
Recycling and Reclamation Workers,51-9199.01,779.0,"Machine operators, n.e.c.",8965,5191XX,Other production workers including semiconductor processors and cooling and freezing equipment operators,3,3
Recycling Coordinators,53-1021.01,803.0,Supervisors of motor vehicle transportation,9000,531000,,3,3
Aircraft Cargo Handling Supervisors,53-1011.00,803.0,Supervisors of motor vehicle transportation,9000,531000,,3,3
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",53-1021.00,803.0,Supervisors of motor vehicle transportation,9000,531000,,3,3
First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,53-1031.00,803.0,Supervisors of motor vehicle transportation,9000,531000,,3,3
"Airline Pilots, Copilots, and Flight Engineers",53-2011.00,226.0,Airplane pilots and navigators,9030,532010,Aircraft Pilots and Flight Engineers,3,3
Commercial Pilots,53-2012.00,226.0,Airplane pilots and navigators,9030,532010,Aircraft Pilots and Flight Engineers,3,3
Air Traffic Controllers,53-2021.00,227.0,Air traffic controllers,9040,532020,Air Traffic Controllers and Airfield Operations Specialists,3,3
Airfield Operations Specialists,53-2022.00,227.0,Air traffic controllers,9040,532020,Air Traffic Controllers and Airfield Operations Specialists,3,3
Flight Attendants,53-2031.00,471.0,Public transportation attendants,9050,532031,Flight Attendants,3,3
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",53-3011.00,814.0,"Motor transportation occupations, n.e.c.",9110,533011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",3,3
"Bus Drivers, Transit and Intercity",53-3021.00,808.0,Bus drivers,9120,533020,Bus Drivers,3,3
"Bus Drivers, School or Special Client",53-3022.00,808.0,Bus drivers,9120,533020,Bus Drivers,3,3
Driver/Sales Workers,53-3031.00,804.0,Driver/sales workers and truck Drivers,9130,533030,Driver/Sales Workers and Truck Drivers,3,3
Light Truck or Delivery Services Drivers,53-3033.00,804.0,Driver/sales workers and truck Drivers,9130,533030,Driver/Sales Workers and Truck Drivers,3,3
Heavy and Tractor-Trailer Truck Drivers,53-3032.00,804.0,Driver/sales workers and truck Drivers,9130,533030,Driver/Sales Workers and Truck Drivers,3,3
Taxi Drivers and Chauffeurs,53-3041.00,809.0,Taxi drivers and chauffeurs,9140,533041,Taxi Drivers and Chauffeurs,3,3
"Rail Yard Engineers, Dinkey Operators, and Hostlers",53-4013.00,824.0,Locomotive operators: engineers and firemen,9200,534010,Locomotive Engineers and Operators,3,3
Locomotive Firers,53-4012.00,824.0,Locomotive operators: engineers and firemen,9200,534010,Locomotive Engineers and Operators,3,3
Locomotive Engineers,53-4011.00,824.0,Locomotive operators: engineers and firemen,9200,534010,Locomotive Engineers and Operators,3,3
"Railroad Brake, Signal, and Switch Operators",53-4021.00,825.0,"Railroad brake, coupler, and switch operators",9230,534021,"Railroad Brake, Signal, and Switch Operators",3,3
Railroad Conductors and Yardmasters,53-4031.00,823.0,Railroad conductors and yardmasters,9240,534031,Railroad Conductors and Yardmasters,3,3
Subway and Streetcar Operators,53-4041.00,824.0,Locomotive operators: engineers and firemen,9260,5340XX,,3,3
Sailors and Marine Oilers,53-5011.00,829.0,"Sailors and deckhands, ship/marine engineers",9300,5350XX,"Sailors and marine oilers, and ship engineers",3,3
Ship Engineers,53-5031.00,829.0,"Sailors and deckhands, ship/marine engineers",9300,5350XX,"Sailors and marine oilers, and ship engineers",3,3
Ship and Boat Captains,53-5021.01,828.0,Ship and boat captains and operators,9310,535020,Ship and Boat Captains and Operators,3,3
"Mates- Ship, Boat, and Barge",53-5021.02,828.0,Ship and boat captains and operators,9310,535020,Ship and Boat Captains and Operators,3,3
"Pilots, Ship",53-5021.03,828.0,Ship and boat captains and operators,9310,535020,Ship and Boat Captains and Operators,3,3
Motorboat Operators,53-5022.00,828.0,Ship and boat captains and operators,9310,535020,Ship and Boat Captains and Operators,3,3
Parking Lot Attendants,53-6021.00,813.0,Parking lot attendants,9350,536021,Parking Lot Attendants,3,3
Automotive and Watercraft Service Attendants,53-6031.00,885.0,Garage and service station related occupations,9360,536031,Automotive and Watercraft Service Attendants,3,3
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",53-6051.07,799.0,"Production checkers, graders, and sorters in manufacturing",9410,536051,Transportation Inspectors,3,3
Freight and Cargo Inspectors,53-6051.08,799.0,"Production checkers, graders, and sorters in manufacturing",9410,536051,Transportation Inspectors,3,3
Aviation Inspectors,53-6051.01,799.0,"Production checkers, graders, and sorters in manufacturing",9410,536051,Transportation Inspectors,3,3
"Transportation Attendants, Except Flight Attendants",53-6061.00,471.0,Public transportation attendants,9415,536061,"Transportation Attendants, Except Flight Attendants",3,3
Bridge and Lock Tenders,53-6011.00,834.0,Miscellanious transportation occupations,9420,5360XX,Miscellaneous transportation workers including bridge and lock tenders and traffic technicians,3,3
Traffic Technicians,53-6041.00,834.0,Miscellanious transportation occupations,9420,5360XX,Miscellaneous transportation workers including bridge and lock tenders and traffic technicians,3,3
Crane and Tower Operators,53-7021.00,849.0,Crane and tower operators,9510,537021,Crane and Tower Operators,3,3
Dredge Operators,53-7031.00,853.0,Excavating and loading machine operators,9520,537030,"Dredge, Excavating, and Loading Machine Operators",3,3
"Loading Machine Operators, Underground Mining",53-7033.00,853.0,Excavating and loading machine operators,9520,537030,"Dredge, Excavating, and Loading Machine Operators",3,3
Excavating and Loading Machine and Dragline Operators,53-7032.00,853.0,Excavating and loading machine operators,9520,537030,"Dredge, Excavating, and Loading Machine Operators",3,3
Hoist and Winch Operators,53-7041.00,848.0,Hoist and winch operators,9560,5370XX,"Conveyor operators and tenders, and hoist and winch operators",3,3
Conveyor Operators and Tenders,53-7011.00,848.0,Hoist and winch operators,9560,5370XX,"Conveyor operators and tenders, and hoist and winch operators",3,3
Industrial Truck and Tractor Operators,53-7051.00,856.0,Industrial truck and tractor operators,9600,537051,Industrial Truck and Tractor Operators,3,3
Cleaners of Vehicles and Equipment,53-7061.00,887.0,Vehicle washers and equipment cleaners,9610,537061,Cleaners of Vehicles and Equipment,3,3
"Laborers and Freight, Stock, and Material Movers, Hand",53-7062.00,889.0,"Laborers, freight, stock, and material handlers, n.e.c.",9620,537062,"Laborers and Freight, Stock, and Material Movers, Hand",3,3
Machine Feeders and Offbearers,53-7063.00,878.0,Machine feeders and offbearers,9630,537063,Machine Feeders and Offbearers,3,3
"Packers and Packagers, Hand",53-7064.00,888.0,Packers and packagers by hand,9640,537064,"Packers and Packagers, Hand",3,3
"Pump Operators, Except Wellhead Pumpers",53-7072.00,859.0,Misc. material moving equipment operators,9650,537070,Pumping Station Operators,3,3
Wellhead Pumpers,53-7073.00,859.0,Misc. material moving equipment operators,9650,537070,Pumping Station Operators,3,3
Gas Compressor and Gas Pumping Station Operators,53-7071.00,859.0,Misc. material moving equipment operators,9650,537070,Pumping Station Operators,3,3
Refuse and Recyclable Material Collectors,53-7081.00,875.0,Garbage and recyclable material collectors,9720,537081,Refuse and Recyclable Material Collectors,3,3
"Tank Car, Truck, and Ship Loaders",53-7121.00,859.0,Misc. material moving equipment operators,9750,5371XX,"Miscellaneous material moving workers including shuttle car operators, and tank car, truck, and ship loaders",3,3
Mine Shuttle Car Operators,53-7111.00,859.0,Misc. material moving equipment operators,9750,5371XX,"Miscellaneous material moving workers including shuttle car operators, and tank car, truck, and ship loaders",3,3
